вероятно	верагодна
сигарета	цыгарэта
сиденье	сядзенне
крепко	моцна
сын	сын
система	сістэма
соль	соль
деревенский	вясковы
семьдесят	семдзесят
семейный	сямейны
семь	сем
сено	сена
спичка	запалка
садиться	садзіцца
сесть	сесці
январь	студзень
сокровище	скарб
жаловаться	скардзіцца
отмена	адмена
поднимать	паднімаць
сбросить	скінуць
сколько	колькі
состоять	складацца
лечь	легчы
сложить	скласці
сложиться	скласціся
стакан	шклянка
стакан	шклянка
стеклянный	шкляны
воспользоваться	скарыстацца
схватить	схапіць
сундук	куфар
везде	усюды
никуда	нікуды
виски	віскі
слабость	слабасць
славный	слаўны
следы	сляды
слух	слых
слушать	слухаць
слыхать	чуць
подходяще	прыдатна
слёзы	слёзы
вкус	густ
смелый	смелы
смех	смех
смешной	смешны
смешно	смешна
засмеяться	засмяяцца
смеяться	смяяцца
полоса	паласа
полоса	паласа
снежный	снежны
снег	снег
завтрак	сняданак
топор	сякера
сладкий	салодкі
солнце	сонца
соображать	цяміць
вонь	смурод
сорок	сорак
стыдный	сорамны
рубаха	кашуля
куртка	куртка
социализм	сацыялізм
социалистический	сацыялістычны
наследство	спадчына
вспыхнуть	ўспыхнуць
спать	спаць
спорить	спрачацца
сперва	спачатку
специально	спецыяльна
просить	прасіць
спросить	спытаць
петь	спяваць
сотрудничество	супрацоўніцтва
собеседник	суразмоўца
поймать	злавіць
общение	зносіны
совместный	сумесны
надеяться	спадзявацца
спортивный	спартыўны
спора	спрэчка
наблюдение	назіранне
наблюдать	назіраць
поначалу	спачатку
дело	справа
корпус	корпус
шкаф	шафа
настоящий	сапраўдны
справиться	справіцца
жажда	смага
ловко	спрытна
содействие	садзейнічанне
способствовать	садзейнічаць
попытаться	паспрабаваць
направить	накіраваць
спускаться	спускацца
спуститься	спусціцца
ссср	ссср
стальной	сталёвы
бывать	бываць
положение	становішча
состояние	стан
условие	ўмова
вокзал	вакзал
старушка	бабулька
половой	палавы
стать	стаць
создание	стварэнне
создавать	ствараць
создать	стварыць
потолок	столь
степь	стэп
стена	сцяна
стенка	сценка
стен	сцен
стены	сцены
столб	слуп
век	стагоддзе
столовый	сталовы
стороны	бакі
посторонний	старонні
касаться	дакранацца
страдание	пакута
казнь	пакаранне
вскочить	ускочыць
прыгать	скакаць
стрела	страла
стрелять	страляць
ряды	шэрагі
состав	склад
ручей	ручай
сустав	сустаў
судить	судзіць
сумма	сума
добросовестно	добрасумленна
сомневаться	сумнявацца
сомнение	сумнеў
грустно	сумна
земляника	суніца
сопровождать	суправаджаць
спутник	спадарожнік
сосед	сусед
общество	грамадства
столкновение	сутыкненне
сумерки	прыцемкі
суть	сутнасць
существо	істота
сущность	сутнасць
современник	сучаснік
склон	схіл
восток	усход
восточный	ўсходні
сегодня	сёння
сегодняшний	сённяшні
седьмой	сёмы
сиять	ззяць
столы	сталы
стол	стол
таинственный	таямнічы
да	так
таков	такі
такой	такі
итак	дык вось
настолько	настолькі
также	таксама
такси	таксі
туда	туды
танец	танец
танцевать	танцаваць
тарелка	талерка
телевизор	тэлевізар
животное	жывёла
зверь	звер
произведение	твор
творческий	творчы
творчество	творчасць
течь	цечу
темнота	цемра
теория	тэорыя
теперь	зараз
тепло	цёпла
трение	трэнне
техника	тэхніка
неделя	тыдзень
временный	часовы
давление	ціск
тысяча	тысяча
тело	цела
только	толькі
тетка	цётка
ткань	тканіна
добро	дабро
товар	тавар
затем	затым
потом	потым
то	тое
тот	той
чтоб	каб
поэтому	таму
торговля	гандаль
торговый	гандлёвы
коснуться	закрануць
случаться	здарацца
третий	трэці
тридцать	трыццаць
трое	трое
несколько	некалькі
немножко	трошкі
роза	ружа
могила	магіла
пожать	паціснуць
тоска	нуда
забота	клопат
беспокоиться	турбавацца
волноваться	хвалявацца
темнота	цемра
груз	груз
тянуться	цягнуцца
тянуть	цягнуць
тяжесть	цяжар
мерещится	мроіцца
соглашение	пагадненне
вдвоем	ўдваіх
обочина	абочына
вдоль	ўздоўж
заключить	заключыць
условие	ўмова
обстановка	абстаноўка
обойтись	абысціся
суметь	здолець
торжественный	урачысты
правительство	ўрад
уставиться	ўтаропіцца
учреждение	ўстанова
оборудование	абсталяванне
устранить	ухіліць
принятие	прыняцце
уклонение	ухіленне
участник	ўдзельнік
участие	удзел
ученик	вучань
воображение	уяўленне
представить	прадставіць
поработить	заняволіць
краска	фарба
специалист	спецыяліст
федерация	федэрацыя
отделение	аддзяленне
финансовый	фінансавы
шторы	шторы
фирма	фірма
файл	файл
фотография	фатаграфія
франция	Францыя
характерный	характэрны
питание	харчаванне
изба	хата
калитка	брамка
минута	хвіліна
волна	хваля
больной	хворы
заболевание	захворванне
ошибочная	памылковая
умение	ўменне
разве	хіба
хлеб	хлеб
мальчик	хлопчык
мальчишка	хлапчук
туча	хмара
прятать	хаваць
прятаться	хавацца
поступь	хада
гулять	гуляць
холод	холад
захотеть	захацець
хотеть	хацець
кто	хто
скот	жывёлу
художественный	мастацкі
метель	завіруха
быстро	хутка
козёл	казёл
область	вобласць
царский	царскі
царь	цар
кладбище	могілкі
гвоздь	цвік
кирпич	цэгла
сея	сея
этот	гэты
оно	яно
это	гэта
лук	лук
цивилизация	цывілізацыя
любопытство	цікаўнасць
интересно	цікава
цена	кошт
цены	кошты
ценность	каштоўнасць
шапка	шапка
щенок	шчанюк
главный	галоўны
чаи	чаі
колдовство	вядзьмарства
волшебный	чароўны
журнал	часопіс
доля	доля
дожидаться	чакаць
нарядное	прыбранае
июнь	чэрвень
очередь	чарга
дежурный	дзяжурны
ботинок	чаравік
ботинки	чаравікі
четвертый	чацвёрты
немало	нямала
фактор	фактар
многочисленный	шматлікі
чтение	чытанне
прочитать	прачытаць
читатель	чытач
трогать	чапаць
броситься	кінуцца
лодка	лодка
лбы	ілбы
муж	муж
супруг	муж
мужской	мужчынскі
отчего	ад чаго
почему	чаму
чёрный	чорны
ад	пекла
четыреста	чатырыста
четыре	чатыры
нечто	нешта
великолепный	цудоўны
замечательный	выдатны
услышать	пачуць
слышно	чуваць
безумный	шалёны
слой	пласт
скорость	хуткасць
быстро	хутка
шепот	шэпт
виселица	шыбеніца
шеи	шыі
шестьдесят	шэсцьдзесят
шестьсот	шэсцьсот
шесть	шэсць
носки	шкарпэткі
школьный	школьны
кожаный	скураны
жалеть	шкадаваць
зло	зло
желудок	страўнік
брак	шлюб
пути	шляхі
путем	шляхам
путь	шлях
способ	спосаб
кусок	кавалак
штука	штука
кусочек	кавалачак
обои	шпалеры
толкать	штурхаць
искать	шукаць
левша	ляўшуна
шуметь	шумець
искренне	шчыра
щель	шчыліну
плотный	шчыльны
позволять	дазваляць
касательно	датычна
относительно	адносна
какой	які
ежегодно	штогод
еженедельная	штотыднёвая
что	што
крыса	пацук
юноша	юнак
юный	юны
толпа	натоўп
яблоко	яблык
явление	з'ява
явный	відавочны
яйцо	яйка
какой	які
чему	чаму
как	як
если	калі
мной	мной
японский	японскі
овраг	яр
ярко	ярка
понятно	зразумела
